Model_number,reps,fold,brier,slope,auc,Variables,Penalty,Model,Approach
7,4,8,0.146380019,1.006298138,0.789382917,B + C,,Cox,Cox
7,4,9,0.142814728,1.006325159,0.794927906,B + C,,Cox,Cox
7,4,10,0.139895066,1.012973538,0.797152259,B + C,,Cox,Cox
7,5,1,0.132532945,1.064106007,0.804110821,B + C,,Cox,Cox
7,5,2,0.137784063,1.038210356,0.799447222,B + C,,Cox,Cox
7,5,3,0.143480233,1.006913129,0.795140212,B + C,,Cox,Cox
7,5,4,0.139450454,1.008490497,0.794663831,B + C,,Cox,Cox
7,5,5,0.146107454,0.948532908,0.777730435,B + C,,Cox,Cox
7,5,6,0.138501367,0.971004435,0.788916369,B + C,,Cox,Cox
7,5,7,0.147779059,0.955417146,0.783428066,B + C,,Cox,Cox
7,5,8,0.133199715,1.003786693,0.80411353,B + C,,Cox,Cox
7,5,9,0.146977646,0.912034687,0.778393549,B + C,,Cox,Cox
7,5,10,0.142527282,0.994822086,0.787567544,B + C,,Cox,Cox
8,1,1,0.145535129,1.011635789,0.769055675,B + C,ridge,Cox,Cox ridge
8,1,2,0.145822098,0.980555803,0.769390293,B + C,ridge,Cox,Cox ridge
8,1,3,0.140937702,1.080505114,0.784765814,B + C,ridge,Cox,Cox ridge
8,1,4,0.140570552,1.001026708,0.773169788,B + C,ridge,Cox,Cox ridge
8,1,5,0.136753073,1.002780388,0.774088596,B + C,ridge,Cox,Cox ridge
8,1,6,0.149440017,0.997422564,0.771073077,B + C,ridge,Cox,Cox ridge
